Name,Team,batter,season,G,PA,AB,H,2B,3B,HR,BB,K,HBP,SF,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,BIP%,wOBA,wRC+,WAR,age_bat_median,K_BB_ratio,contact_rate
Unknown_545361,LAA,545361,2018,140,608,472,147,24,4,39,122,124,10,4,0.311,0.459,0.627,1.086,0.316,0.345,0.2007,0.2039,0.5773,0.471,193.4,9.2,27.0,1.0159441953163926,0.7961
Unknown_605141,BOS,605141,2018,142,642,544,186,50,5,32,85,95,8,5,0.342,0.435,0.629,1.063,0.287,0.365,0.1324,0.148,0.7072,0.462,187.4,9.3,26.0,1.1178247734138973,0.852
Unknown_572228,NYY,572228,2018,52,182,160,50,5,1,15,21,49,1,0,0.312,0.396,0.638,1.033,0.325,0.365,0.1154,0.2692,0.6099,0.451,180.1,2.5,27.0,2.332755632582322,0.7308
Unknown_502110,BOS,502110,2018,156,676,590,193,37,2,44,73,149,4,9,0.327,0.399,0.62,1.02,0.293,0.367,0.108,0.2204,0.6657,0.446,176.7,8.8,31.0,2.0407407407407407,0.7796
Unknown_592885,MIL,592885,2018,152,679,593,191,34,7,37,77,138,7,2,0.322,0.405,0.59,0.995,0.268,0.367,0.1134,0.2032,0.673,0.434,168.7,8.2,27.0,1.7918871252204585,0.7968
Unknown_571970,LAD,571970,2018,144,506,412,107,17,2,37,87,140,5,2,0.26,0.393,0.58,0.973,0.32,0.295,0.1719,0.2767,0.5415,0.426,163.4,5.8,28.0,1.6096567771960442,0.7233
Unknown_608324,HOU,608324,2018,162,729,606,175,52,1,33,106,86,14,3,0.289,0.405,0.541,0.946,0.252,0.29,0.1454,0.118,0.7174,0.415,156.1,7.6,24.0,0.811554332874828,0.882
Unknown_592450,NYY,592450,2018,116,520,432,123,23,0,30,79,155,4,5,0.285,0.396,0.546,0.942,0.262,0.369,0.1519,0.2981,0.5423,0.415,156.1,5.4,26.0,1.9624753127057273,0.7019
Unknown_502671,AZ,502671,2018,158,690,594,172,35,5,33,90,173,6,0,0.29,0.388,0.532,0.92,0.242,0.358,0.1304,0.2507,0.6087,0.414,155.4,7.2,31.0,1.9225460122699387,0.7493000000000001
Unknown_457759,LAD,457759,2018,109,457,392,122,32,1,15,51,58,12,2,0.311,0.405,0.513,0.918,0.202,0.333,0.1116,0.1269,0.7352,0.413,154.7,4.7,34.0,1.1370967741935485,0.8731
Unknown_608070,CLE,608070,2018,160,710,589,156,38,4,39,107,83,8,6,0.265,0.382,0.542,0.923,0.277,0.247,0.1507,0.1169,0.7211,0.411,153.4,7.2,26.0,0.7757133377571334,0.8831
Unknown_665742,WSH,665742,2018,116,494,414,121,25,1,22,79,99,0,0,0.292,0.406,0.517,0.923,0.225,0.338,0.1599,0.2004,0.6377,0.408,151.4,4.9,20.0,1.25328330206379,0.7996
Unknown_571448,COL,571448,2018,160,691,606,178,38,2,38,73,128,3,8,0.294,0.368,0.551,0.919,0.257,0.312,0.1056,0.1852,0.7033,0.403,148.1,6.5,27.0,1.753787878787879,0.8148
Unknown_456665,BOS,456665,2018,81,273,234,67,15,1,11,32,48,5,2,0.286,0.381,0.5,0.881,0.214,0.316,0.1172,0.1758,0.6886,0.4,146.1,2.5,35.0,1.5000000000000002,0.8242
Unknown_656811,KC,656811,2018,44,170,149,39,10,2,12,20,45,1,0,0.262,0.353,0.597,0.95,0.336,0.293,0.1176,0.2647,0.6118,0.399,145.4,1.5,25.0,2.2508503401360542,0.7353000000000001
Unknown_518692,ATL,518692,2018,166,724,634,195,44,4,24,77,135,7,6,0.308,0.385,0.503,0.889,0.196,0.356,0.1064,0.1865,0.6975,0.398,144.7,6.5,29.0,1.7528195488721805,0.8135
Unknown_595879,CHC,595879,2018,160,651,611,177,41,9,34,30,169,5,4,0.29,0.326,0.553,0.879,0.264,0.347,0.0461,0.2596,0.6851,0.398,144.7,5.9,26.0,5.631236442516268,0.7404
Unknown_660271,LAA,660271,2018,104,366,326,93,21,2,22,37,102,2,1,0.285,0.361,0.564,0.925,0.279,0.35,0.1011,0.2787,0.6148,0.398,144.7,3.3,24.0,2.7566765578635017,0.7213
Unknown_607043,NYM,607043,2018,138,535,433,114,28,8,17,80,140,22,0,0.263,0.404,0.483,0.886,0.219,0.351,0.1495,0.2617,0.5477,0.398,144.7,4.8,25.0,1.7505016722408027,0.7383
Unknown_660670,ATL,660670,2018,115,504,449,130,27,4,27,46,128,6,3,0.29,0.361,0.548,0.909,0.258,0.347,0.0913,0.254,0.6429,0.397,144.0,4.5,21.0,2.782037239868565,0.746
Unknown_596115,COL,596115,2018,161,674,616,179,44,6,37,47,175,7,4,0.291,0.346,0.562,0.907,0.271,0.348,0.0697,0.2596,0.6602,0.396,143.4,6.0,26.0,3.7245337159253946,0.7404
Unknown_543685,WSH,543685,2018,135,597,529,163,44,2,24,55,82,5,8,0.308,0.374,0.535,0.909,0.227,0.323,0.0921,0.1374,0.7621,0.394,142.0,5.2,28.0,1.49185667752443,0.8626
Unknown_547180,WSH,547180,2018,159,695,550,137,34,0,34,130,169,6,9,0.249,0.393,0.496,0.889,0.247,0.289,0.1871,0.2432,0.5612,0.394,142.0,6.0,26.0,1.2998396579369322,0.7568
Unknown_592518,BAL,592518,2018,169,739,660,196,37,3,40,72,112,2,5,0.297,0.365,0.544,0.909,0.247,0.304,0.0974,0.1516,0.7483,0.393,141.4,6.3,26.0,1.5564681724845997,0.8484
Unknown_593428,BOS,593428,2018,141,607,537,155,45,3,24,57,103,6,7,0.289,0.359,0.518,0.877,0.229,0.314,0.0939,0.1697,0.7265,0.393,141.4,5.2,26.0,1.807241746538871,0.8303
Unknown_643603,HOU,643603,2018,70,253,221,61,13,3,12,27,54,4,1,0.276,0.364,0.525,0.889,0.249,0.314,0.1067,0.2134,0.664,0.393,141.4,2.2,28.0,2.0,0.7866
Unknown_643446,NYM,643446,2018,63,248,225,74,11,6,3,14,24,5,0,0.329,0.381,0.471,0.852,0.142,0.359,0.0565,0.0968,0.8105,0.393,141.4,2.1,26.0,1.7132743362831857,0.9032
Unknown_572761,STL,572761,2018,156,676,564,145,42,0,36,102,158,6,4,0.257,0.374,0.523,0.897,0.266,0.291,0.1509,0.2337,0.6065,0.392,140.7,5.7,33.0,1.5487077534791251,0.7663
Unknown_553993,CIN,553993,2018,142,606,527,149,22,2,34,64,142,9,6,0.283,0.366,0.526,0.892,0.243,0.322,0.1056,0.2343,0.6452,0.391,140.0,5.1,27.0,2.21875,0.7657
Unknown_596019,CLE,596019,2018,161,757,672,187,42,2,40,70,109,8,3,0.278,0.352,0.525,0.877,0.247,0.279,0.0925,0.144,0.7477,0.389,138.7,6.2,25.0,1.5567567567567566,0.856
Unknown_608385,CIN,608385,2018,88,334,281,84,16,0,7,49,46,2,1,0.299,0.405,0.431,0.836,0.132,0.336,0.1467,0.1377,0.7066,0.386,136.7,2.7,25.0,0.9386503067484662,0.8623000000000001
Unknown_592206,DET,592206,2018,157,678,620,185,46,5,23,49,151,6,3,0.298,0.354,0.5,0.854,0.202,0.361,0.0723,0.2227,0.6962,0.384,135.4,5.3,26.0,3.0802213001383127,0.7773
Unknown_571745,SEA,571745,2018,157,683,596,170,38,4,26,70,148,10,7,0.285,0.366,0.493,0.859,0.208,0.336,0.1025,0.2167,0.6662,0.384,135.4,5.3,28.0,2.1141463414634147,0.7833
Unknown_429664,SEA,429664,2018,80,348,310,94,22,0,10,32,47,4,2,0.303,0.374,0.471,0.845,0.168,0.329,0.092,0.1351,0.7615,0.381,133.4,2.6,36.0,1.4684782608695652,0.8649
Unknown_501981,ATH,501981,2018,152,658,580,143,28,1,49,59,177,12,7,0.247,0.325,0.552,0.877,0.305,0.26,0.0897,0.269,0.6231,0.38,132.7,4.9,31.0,2.998885172798216,0.731
Unknown_458015,CIN,458015,2018,144,623,503,143,28,2,12,108,101,9,3,0.284,0.417,0.419,0.837,0.135,0.333,0.1734,0.1621,0.6501,0.38,132.7,4.7,35.0,0.9348327566320646,0.8379
Unknown_444482,AZ,444482,2018,146,614,560,164,25,5,30,48,124,4,2,0.293,0.352,0.516,0.868,0.223,0.328,0.0782,0.202,0.7134,0.38,132.7,4.6,31.0,2.5831202046035804,0.798
Unknown_467092,TB,467092,2018,110,416,382,117,22,1,15,32,80,0,2,0.306,0.358,0.487,0.845,0.181,0.353,0.0769,0.1923,0.7308,0.379,132.0,3.1,31.0,2.5006501950585176,0.8077
Unknown_609280,NYY,609280,2018,153,618,583,172,47,2,27,27,99,4,4,0.295,0.328,0.521,0.85,0.226,0.315,0.0437,0.1602,0.7896,0.378,131.4,4.5,23.0,3.665903890160183,0.8398
Unknown_656305,ATH,656305,2018,146,621,552,153,42,6,24,58,146,9,2,0.277,0.354,0.505,0.86,0.228,0.336,0.0934,0.2351,0.657,0.378,131.4,4.5,25.0,2.517130620985011,0.7649
Unknown_519203,CHC,519203,2018,152,669,570,161,29,1,25,70,80,20,9,0.282,0.375,0.468,0.844,0.186,0.287,0.1046,0.1196,0.7459,0.378,131.4,4.9,29.0,1.1434034416826004,0.8804
Unknown_571697,CIN,571697,2018,154,638,584,181,30,3,23,42,125,4,5,0.31,0.357,0.49,0.847,0.18,0.358,0.0658,0.1959,0.7273,0.378,131.4,4.7,28.0,2.977203647416413,0.8041
Unknown_542583,MIL,542583,2018,154,588,513,138,25,0,37,59,149,6,10,0.269,0.345,0.534,0.879,0.265,0.3,0.1003,0.2534,0.6344,0.377,130.7,4.3,28.0,2.52642073778664,0.7465999999999999
Unknown_514888,HOU,514888,2018,142,623,556,174,30,2,14,57,83,6,1,0.313,0.382,0.45,0.832,0.137,0.348,0.0915,0.1332,0.7608,0.377,130.7,4.5,28.0,1.455737704918033,0.8668
Unknown_488726,CLE,488726,2018,146,642,580,178,36,2,17,49,61,5,7,0.307,0.362,0.464,0.826,0.157,0.316,0.0763,0.095,0.8193,0.377,130.7,4.6,31.0,1.2450851900393183,0.905
Unknown_594809,WSH,594809,2018,94,370,319,96,18,1,5,38,64,11,0,0.301,0.394,0.411,0.805,0.11,0.364,0.1027,0.173,0.6892,0.377,130.7,2.7,30.0,1.6845180136319375,0.827
Unknown_543305,NYY,543305,2018,140,591,489,121,19,3,27,91,112,3,6,0.247,0.365,0.464,0.829,0.217,0.264,0.154,0.1895,0.6481,0.376,130.0,4.2,29.0,1.2305194805194806,0.8105
Unknown_624585,KC,624585,2018,61,257,223,59,18,0,9,28,69,4,2,0.265,0.354,0.466,0.82,0.202,0.34,0.1089,0.2685,0.607,0.376,130.0,1.8,26.0,2.465564738292011,0.7315
Unknown_456715,MIL,456715,2018,146,649,565,171,27,2,10,74,101,8,2,0.303,0.39,0.411,0.8,0.108,0.353,0.114,0.1556,0.718,0.375,129.4,4.6,32.0,1.3649122807017542,0.8444
Unknown_592178,CHC,592178,2018,103,463,395,107,28,3,13,48,110,17,3,0.271,0.371,0.456,0.827,0.185,0.342,0.1037,0.2376,0.622,0.375,129.4,3.3,26.0,2.29122468659595,0.7624
Unknown_656555,PHI,656555,2018,153,660,559,137,38,0,34,87,150,9,5,0.245,0.353,0.496,0.849,0.25,0.271,0.1318,0.2273,0.6258,0.375,129.4,4.7,25.0,1.7245827010622155,0.7726999999999999
Unknown_408234,DET,408234,2018,38,157,134,40,11,0,3,22,27,0,1,0.299,0.395,0.448,0.843,0.149,0.352,0.1401,0.172,0.6879,0.375,129.4,1.1,35.0,1.2276945039257672,0.8280000000000001
Unknown_592626,LAD,592626,2018,144,465,415,104,28,3,26,41,90,5,3,0.251,0.323,0.52,0.844,0.27,0.258,0.0882,0.1935,0.7054,0.373,128.0,3.2,26.0,2.193877551020408,0.8065
Unknown_453568,COL,453568,2018,160,712,641,184,31,7,29,60,135,8,2,0.287,0.354,0.493,0.847,0.206,0.324,0.0843,0.1896,0.7135,0.373,128.0,4.9,32.0,2.2491103202846974,0.8104
Unknown_425783,TEX,425783,2018,146,665,560,148,30,1,21,92,156,10,2,0.264,0.377,0.434,0.81,0.17,0.33,0.1383,0.2346,0.6105,0.373,128.0,4.6,36.0,1.6963123644251625,0.7654
Unknown_614177,SD,614177,2018,86,285,261,73,9,0,16,24,80,0,0,0.28,0.34,0.498,0.838,0.218,0.345,0.0842,0.2807,0.6351,0.372,127.4,1.9,23.0,3.3337292161520193,0.7193
Unknown_605361,ATH,605361,2018,54,183,156,46,9,3,1,21,38,5,1,0.295,0.393,0.41,0.804,0.115,0.381,0.1148,0.2077,0.6503,0.371,126.7,1.2,28.0,1.8092334494773519,0.7923
Unknown_596847,TB,596847,2018,61,221,190,50,14,1,10,26,55,3,2,0.263,0.357,0.505,0.863,0.242,0.315,0.1176,0.2489,0.6199,0.371,126.7,1.5,27.0,2.116496598639456,0.7511
Unknown_502054,STL,502054,2018,136,570,494,136,18,6,21,67,140,6,3,0.275,0.367,0.464,0.83,0.188,0.342,0.1175,0.2456,0.6263,0.37,126.0,3.8,30.0,2.090212765957447,0.7544
Unknown_500874,STL,500874,2018,152,590,534,163,30,0,17,49,104,2,3,0.305,0.364,0.457,0.821,0.152,0.351,0.0831,0.1763,0.7339,0.37,126.0,3.9,30.0,2.121540312876053,0.8237
Unknown_543768,MIL,543768,2018,156,611,519,127,24,1,33,81,114,4,6,0.245,0.348,0.486,0.833,0.241,0.249,0.1326,0.1866,0.6727,0.369,125.4,4.0,28.0,1.4072398190045248,0.8134
Unknown_450314,CHC,450314,2018,137,526,461,140,28,3,9,55,61,2,7,0.304,0.375,0.436,0.811,0.132,0.329,0.1046,0.116,0.7738,0.369,125.4,3.4,37.0,1.1089866156787764,0.884
Unknown_609275,KC,609275,2018,74,291,275,76,13,3,14,11,77,1,1,0.276,0.306,0.498,0.804,0.222,0.335,0.0378,0.2646,0.6838,0.369,125.4,1.9,23.0,7.0,0.7354
Unknown_643217,BOS,643217,2018,153,688,602,173,42,6,16,74,113,3,7,0.287,0.364,0.457,0.821,0.169,0.327,0.1076,0.1642,0.7209,0.368,124.7,4.5,24.0,1.526022304832714,0.8358
