Name,Team,batter,season,G,PA,AB,H,2B,3B,HR,BB,K,HBP,SF,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,BIP%,wOBA,wRC+,WAR,age_bat_median,K_BB_ratio,contact_rate
Unknown_545361,LAA,545361,2018,140,608,472,147,24,4,39,122,124,10,4,0.311,0.9066265060240964,0.8373382624768948,1.086,0.8100263852242744,0.6298507462686568,0.9044734389561975,0.39396795475966073,0.5773,0.471,0.8576598311218335,0.7533333333333333,27.0,0.009658014529674989,0.6060320452403394
Unknown_605141,BOS,605141,2018,142,642,544,186,50,5,32,85,95,8,5,0.342,0.8343373493975904,0.8410351201478745,1.063,0.733509234828496,0.6895522388059702,0.5862068965517241,0.2622525918944392,0.7072,0.462,0.8335343787696019,0.76,26.0,0.01162996587405279,0.7377474081055608
Unknown_572228,NYY,572228,2018,52,182,160,50,5,1,15,21,49,1,0,0.312,0.7168674698795182,0.857670979667283,1.033,0.8337730870712401,0.6895522388059702,0.5069897483690587,0.547832233741753,0.6099,0.451,0.8041817450743867,0.30666666666666664,27.0,0.03514558176278841,0.45216776625824706
Unknown_502110,BOS,502110,2018,156,676,590,193,37,2,44,73,149,4,9,0.327,0.7259036144578314,0.8243992606284658,1.02,0.7493403693931397,0.6955223880597016,0.472506989748369,0.4328463713477852,0.6657,0.446,0.790510655408122,0.7266666666666667,31.0,0.029493482321477443,0.5671536286522147
Unknown_592885,MIL,592885,2018,152,679,593,191,34,7,37,77,138,7,2,0.322,0.7439759036144579,0.7689463955637708,0.995,0.683377308707124,0.6955223880597016,0.4976700838769804,0.3923185673892554,0.673,0.434,0.7583433856051467,0.6866666666666666,27.0,0.024676791732925356,0.6076814326107445
Unknown_571970,LAD,571970,2018,144,506,412,107,17,2,37,87,140,5,2,0.26,0.7078313253012049,0.7504621072088724,0.973,0.820580474934037,0.4805970149253731,0.7702702702702703,0.5655042412818095,0.5415,0.426,0.7370325693606754,0.5266666666666666,28.0,0.021149628985288965,0.4344957587181906
Unknown_608324,HOU,608324,2018,162,729,606,175,52,1,33,106,86,14,3,0.289,0.7439759036144579,0.6783733826247691,0.946,0.6411609498680738,0.4656716417910447,0.646784715750233,0.191564561734213,0.7174,0.415,0.7076799356654604,0.6466666666666666,24.0,0.005701942905963734,0.8084354382657868
Unknown_592450,NYY,592450,2018,116,520,432,123,23,0,30,79,155,4,5,0.285,0.7168674698795182,0.6876155268022184,0.942,0.6675461741424802,0.701492537313433,0.6770736253494875,0.6159283694627709,0.5423,0.415,0.7076799356654604,0.5,26.0,0.02797861443484019,0.3840716305372289
Unknown_502671,AZ,502671,2018,158,690,594,172,35,5,33,90,173,6,0,0.29,0.6927710843373495,0.6617375231053606,0.92,0.6147757255936676,0.6686567164179104,0.5768872320596458,0.5042412818096135,0.6087,0.414,0.7048652995577,0.62,31.0,0.027205762148911246,0.49575871819038664
Unknown_457759,LAD,457759,2018,109,457,392,122,32,1,15,51,58,12,2,0.311,0.7439759036144579,0.6266173752310538,0.918,0.5092348284960422,0.5940298507462688,0.48928238583411,0.21253534401508017,0.7352,0.413,0.7020506634499395,0.45333333333333337,34.0,0.012002985428475737,0.7874646559849199
Unknown_608070,CLE,608070,2018,160,710,589,156,38,4,39,107,83,8,6,0.265,0.674698795180723,0.680221811460259,0.923,0.7071240105540897,0.33731343283582094,0.6714818266542404,0.18897266729500473,0.7211,0.411,0.6968234821069561,0.62,26.0,0.005008221886452682,0.811027332704995
Unknown_665742,WSH,665742,2018,116,494,414,121,25,1,22,79,99,0,0,0.292,0.746987951807229,0.6340110905730132,0.923,0.5699208443271768,0.6089552238805972,0.7143522833178005,0.3857210179076343,0.6377,0.408,0.6887816646562122,0.4666666666666667,20.0,0.014251835838541506,0.6142789820923655
Unknown_571448,COL,571448,2018,160,691,606,178,38,2,38,73,128,3,8,0.294,0.6325301204819277,0.6968576709796674,0.919,0.6543535620052771,0.5313432835820896,0.4613233923578751,0.34990574929311974,0.7033,0.403,0.6755126658624848,0.5733333333333334,27.0,0.023939361089858106,0.6500942507068803
Unknown_456665,BOS,456665,2018,81,273,234,67,15,1,11,32,48,5,2,0.286,0.6716867469879518,0.6025878003696858,0.881,0.5408970976253298,0.5432835820895523,0.5153774464119292,0.3277568331762489,0.6886,0.4,0.6674708484117409,0.30666666666666664,35.0,0.019027165280725712,0.6722431668237512
Unknown_656811,KC,656811,2018,44,170,149,39,10,2,12,20,45,1,0,0.262,0.5873493975903613,0.7818853974121998,0.95,0.8627968337730871,0.4746268656716418,0.5172413793103448,0.5372290292177191,0.6118,0.399,0.6646562123039808,0.24000000000000002,25.0,0.03356026241569461,0.46277097078228113
Unknown_518692,ATL,518692,2018,166,724,634,195,44,4,24,77,135,7,6,0.308,0.6837349397590361,0.6081330868761554,0.889,0.4934036939313984,0.6626865671641792,0.4650512581547064,0.35296889726672953,0.6975,0.398,0.6618415761962202,0.5733333333333334,29.0,0.02392061856292392,0.6470311027332705
Unknown_595879,CHC,595879,2018,160,651,611,177,41,9,34,30,169,5,4,0.29,0.5060240963855422,0.7005545286506472,0.879,0.6728232189973615,0.635820895522388,0.18406337371854614,0.5252120640904806,0.6851,0.398,0.6618415761962202,0.5333333333333334,26.0,0.09898938584219351,0.4747879359095193
Unknown_660271,LAA,660271,2018,104,366,326,93,21,2,22,37,102,2,1,0.285,0.6114457831325301,0.7208872458410351,0.925,0.712401055408971,0.644776119402985,0.44035414725069894,0.5702167766258247,0.6148,0.398,0.6618415761962202,0.36,24.0,0.043350790784257215,0.4297832233741754
Unknown_607043,NYM,607043,2018,138,535,433,114,28,8,17,80,140,22,0,0.263,0.7409638554216867,0.5711645101663587,0.886,0.5540897097625329,0.6477611940298508,0.6658900279589934,0.5301602262016964,0.5477,0.398,0.6618415761962202,0.46,25.0,0.023875754860492107,0.46983977379830333
Unknown_660670,ATL,660670,2018,115,504,449,130,27,4,27,46,128,6,3,0.29,0.6114457831325301,0.6913123844731979,0.909,0.6569920844327176,0.635820895522388,0.3946877912395154,0.5120169651272385,0.6429,0.397,0.6590269400884599,0.44,21.0,0.043841659916609016,0.4879830348727616
Unknown_596115,COL,596115,2018,161,674,616,179,44,6,37,47,175,7,4,0.291,0.5662650602409639,0.7171903881700556,0.907,0.6912928759894459,0.6388059701492538,0.2940354147250699,0.5252120640904806,0.6602,0.396,0.6566143948532368,0.54,26.0,0.06208416724958542,0.4747879359095193
Unknown_543685,WSH,543685,2018,135,597,529,163,44,2,24,55,82,5,8,0.308,0.6506024096385542,0.6672828096118302,0.909,0.575197889182058,0.564179104477612,0.3984156570363467,0.2372761545711593,0.7621,0.394,0.6509851226377161,0.4866666666666667,28.0,0.018869547057475802,0.7627238454288408
Unknown_547180,WSH,547180,2018,159,695,550,137,34,0,34,130,169,6,9,0.249,0.7078313253012049,0.5951940850277266,0.889,0.6279683377308707,0.4626865671641791,0.8410997204100652,0.48656927426955704,0.5612,0.394,0.6509851226377161,0.54,26.0,0.015152958214049729,0.5134307257304431
Unknown_592518,BAL,592518,2018,169,739,660,196,37,3,40,72,112,2,5,0.297,0.6234939759036146,0.6839186691312387,0.909,0.6279683377308707,0.5074626865671642,0.42311276794035413,0.2707351555136664,0.7483,0.393,0.6485725774024929,0.56,26.0,0.020120135999236885,0.7292648444863337
Unknown_593428,BOS,593428,2018,141,607,537,155,45,3,24,57,103,6,7,0.289,0.6054216867469878,0.635859519408503,0.877,0.5804749340369393,0.5373134328358209,0.4068033550792171,0.3133836003770028,0.7265,0.393,0.6485725774024929,0.4866666666666667,26.0,0.024973988379397835,0.6866163996229973
Unknown_643603,HOU,643603,2018,70,253,221,61,13,3,12,27,54,4,1,0.276,0.6204819277108434,0.6487985212569318,0.889,0.6332453825857519,0.5373134328358209,0.4664492078285182,0.41635249764373233,0.664,0.393,0.6485725774024929,0.2866666666666667,28.0,0.02870492418827012,0.5836475023562675
Unknown_643446,NYM,643446,2018,63,248,225,74,11,6,3,14,24,5,0,0.329,0.6716867469879518,0.5489833641404807,0.852,0.3509234828496042,0.6716417910447762,0.2325256290773532,0.14161168708765315,0.8105,0.393,0.6485725774024929,0.28,26.0,0.02315520049615616,0.8583883129123466
Unknown_572761,STL,572761,2018,156,676,564,145,42,0,36,102,158,6,4,0.257,0.6506024096385542,0.6451016635859521,0.897,0.6781002638522428,0.4686567164179104,0.6724137931034483,0.4641847313854854,0.6065,0.392,0.6457579412947325,0.52,33.0,0.01996992907092387,0.5358152686145146
