Name,Team,G,PA,AB,H,2B,3B,HR,BB,K,HBP,SF,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,wOBA,wRC+,WAR
Nathan Lukes,TOR,55,159,133,38,9,4,2,19,25,0,5,0.286,0.363,0.459,0.822,0.173,0.324,0.1195,0.1572,0.471,186.1,2.3
Max Schrock,CIN,89,221,206,63,13,3,4,13,44,0,2,0.306,0.344,0.456,0.8,0.15,0.369,0.0588,0.1991,0.452,173.5,2.8
Mike Trout,LAA,613,2639,2161,620,114,14,178,417,624,45,16,0.287,0.41,0.6,1.01,0.313,0.321,0.158,0.2365,0.451,172.8,33.2
Aaron Judge,NYY,852,3710,3081,897,151,2,273,579,999,29,21,0.291,0.406,0.607,1.013,0.316,0.341,0.1561,0.2693,0.45,172.1,46.3
Yordan Álvarez,HOU,665,2800,2405,712,157,6,174,333,577,41,21,0.296,0.388,0.583,0.971,0.287,0.321,0.1189,0.2061,0.428,157.4,29.8
Juan Soto,WSH,969,4205,3377,952,184,15,204,787,720,17,21,0.282,0.418,0.527,0.944,0.245,0.302,0.1872,0.1712,0.425,155.4,43.6
Darick Hall,PHI,83,258,241,59,16,2,10,16,71,1,0,0.245,0.295,0.452,0.747,0.207,0.306,0.062,0.2752,0.424,154.8,2.7
Shohei Ohtani,LAA,872,3624,3143,885,165,37,229,442,921,22,17,0.282,0.372,0.576,0.948,0.295,0.326,0.122,0.2541,0.421,152.8,36.4
Bryce Harper,PHI,918,3936,3272,928,228,6,204,598,896,29,32,0.284,0.396,0.544,0.94,0.26,0.328,0.1519,0.2276,0.419,151.4,38.8
Freddie Freeman,ATL,1057,4607,3973,1222,275,16,184,547,758,57,30,0.308,0.396,0.524,0.92,0.216,0.339,0.1187,0.1645,0.416,149.4,44.3
César Puello,MIA,65,191,163,40,5,0,6,14,49,12,0,0.245,0.349,0.387,0.736,0.141,0.315,0.0733,0.2565,0.416,149.4,1.8
Mookie Betts,LAD,914,4122,3552,1036,236,23,193,492,617,41,37,0.292,0.381,0.534,0.915,0.242,0.303,0.1194,0.1497,0.409,144.8,37.2
Ronald Acuña,ATL,764,3415,2956,848,154,14,172,389,764,55,15,0.287,0.378,0.523,0.901,0.236,0.332,0.1139,0.2237,0.407,143.4,30.2
Christian Yelich,MIL,858,3697,3163,898,165,22,149,490,832,30,12,0.284,0.384,0.491,0.875,0.207,0.341,0.1325,0.225,0.399,138.1,30.2
Edwin Ríos,LAD,158,410,360,76,14,1,27,40,137,8,2,0.211,0.302,0.481,0.783,0.269,0.247,0.0976,0.3341,0.397,136.8,3.3
Anthony Rendon,WSH,570,2448,2087,598,150,6,85,291,351,37,33,0.287,0.378,0.486,0.865,0.2,0.305,0.1189,0.1434,0.396,136.1,19.4
Fernando Tatís,SD,533,2299,2053,574,112,10,129,212,576,21,12,0.28,0.351,0.532,0.884,0.253,0.327,0.0922,0.2505,0.396,136.1,18.2
Mark Mathias,PIT,82,232,203,49,8,0,6,26,63,1,2,0.241,0.328,0.369,0.697,0.128,0.316,0.1121,0.2716,0.395,135.4,1.8
David Freese,PIT,202,517,459,140,26,2,22,48,121,6,4,0.305,0.375,0.514,0.889,0.209,0.369,0.0928,0.234,0.394,134.8,4.0
Matt Mclain,CIN,92,410,371,107,23,4,16,31,117,8,0,0.288,0.356,0.501,0.857,0.213,0.382,0.0756,0.2854,0.394,134.8,3.2
Seth Beer,AZ,57,170,150,37,8,0,3,13,44,6,1,0.247,0.329,0.36,0.689,0.113,0.327,0.0765,0.2588,0.394,134.8,1.3
José Ramírez,CLE,1000,4302,3769,1030,246,25,212,466,547,28,39,0.273,0.354,0.521,0.875,0.247,0.268,0.1083,0.1272,0.393,134.1,33.0
Corey Seager,TEX,752,3225,2865,805,181,7,158,308,544,26,26,0.281,0.353,0.514,0.868,0.234,0.296,0.0955,0.1687,0.391,132.8,24.2
Howie Kendrick,WSH,196,671,615,197,45,1,24,42,102,6,8,0.32,0.365,0.514,0.879,0.193,0.348,0.0626,0.152,0.391,132.8,5.0
Paul Goldschmidt,STL,1028,4388,3853,1077,222,10,196,490,1016,25,20,0.28,0.363,0.495,0.858,0.215,0.331,0.1117,0.2315,0.391,132.8,32.9
Garrett Mitchell,MIL,123,399,355,94,19,5,14,38,136,2,1,0.265,0.338,0.465,0.803,0.2,0.388,0.0952,0.3409,0.391,132.8,3.0
J. D. Martinez,BOS,913,3904,3470,974,228,11,184,370,965,26,38,0.281,0.351,0.512,0.863,0.231,0.335,0.0948,0.2472,0.391,132.8,29.3
Terrin Vavra,BAL,72,186,160,43,2,1,2,20,38,2,2,0.269,0.353,0.331,0.685,0.062,0.336,0.1075,0.2043,0.39,132.1,1.4
Dustin Garneau,LAA,94,266,233,53,12,1,13,22,70,6,3,0.227,0.307,0.455,0.762,0.227,0.261,0.0827,0.2632,0.39,132.1,2.0
Conner Capel,ATH,66,184,159,42,5,1,3,21,43,2,2,0.264,0.353,0.365,0.718,0.101,0.339,0.1141,0.2337,0.39,132.1,1.4
Phillip Evans,PIT,123,379,334,84,14,0,7,37,76,7,1,0.251,0.338,0.356,0.694,0.105,0.306,0.0976,0.2005,0.389,131.4,2.8
Vladimir Guerrero,TOR,845,3616,3214,920,183,6,161,355,565,31,16,0.286,0.361,0.497,0.858,0.211,0.303,0.0982,0.1562,0.389,131.4,26.5
Sean Bouchard,COL,74,254,208,51,15,0,8,37,76,4,4,0.245,0.364,0.433,0.796,0.188,0.336,0.1457,0.2992,0.388,130.7,1.8
Rafael Devers,BOS,958,4090,3681,1032,244,13,198,352,858,35,21,0.28,0.347,0.515,0.862,0.235,0.315,0.0861,0.2098,0.388,130.7,29.6
Pete Alonso,NYM,871,3700,3222,803,148,8,229,369,839,84,25,0.249,0.339,0.513,0.853,0.264,0.263,0.0997,0.2268,0.386,129.4,26.2
José Altuve,HOU,891,3946,3530,1032,194,8,160,359,609,38,14,0.292,0.363,0.488,0.85,0.195,0.314,0.091,0.1543,0.386,129.4,27.9
Frank Schwindel,CHC,162,603,558,155,33,1,25,38,110,3,4,0.278,0.325,0.475,0.8,0.197,0.304,0.063,0.1824,0.385,128.7,4.2
Stone Garrett,WSH,118,367,325,89,26,0,14,30,110,6,6,0.274,0.341,0.483,0.824,0.209,0.362,0.0817,0.2997,0.385,128.7,2.6
Ketel Marte,AZ,878,3656,3258,922,203,37,138,341,582,29,27,0.283,0.353,0.495,0.849,0.212,0.306,0.0933,0.1592,0.385,128.7,25.5
Matt Olson,ATH,1028,4367,3774,966,208,5,245,517,1023,48,28,0.256,0.351,0.508,0.859,0.253,0.285,0.1184,0.2343,0.385,128.7,30.5
Max Muncy,LAD,876,3528,2908,670,134,7,201,550,885,44,26,0.23,0.358,0.489,0.847,0.258,0.254,0.1559,0.2509,0.385,128.7,24.6
Alex Bregman,HOU,963,4209,3582,972,224,10,172,538,533,57,32,0.271,0.372,0.484,0.856,0.212,0.275,0.1278,0.1266,0.385,128.7,29.4
